StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q72,Q73,Q100,Q74,Q35_1,Q36_1,Q68_1,Q81,Q69_1,Q31_1,Q32_1,Q64_1,Q98,Q65_1,Q27_1,Q28_1,Q53_1,Q97,Q54_1,Q23_1,Q24_1,Q49_1,Q96,Q50_1,Q16_1,Q17_1,Q60_1,Q95,Q61_1,Q11_1,Q12_1,Q45_1,Q94,Q46_1,Q7_1,Q8_1,Q41_1,Q93,Q42_1,Q3_1,Q4_1,Q37_1,Q92,Q38_1,Q70_1,Q91,Q71_1,Q33_1,Q34_1,Q66_1,Q90,Q67_1,Q29_1,Q30_1,Q57_1,Q89,Q58_1,Q25_1,Q26_1,Q51_1,Q88,Q52_1,Q21_1,Q22_1,Q62_1,Q87,Q63_1,Q14_1,Q15_1,Q55_1,Q86,Q56_1,Q9_1,Q10_1,Q43_1,Q85,Q44_1,Q5_1,Q6_1,Q39_1,Q84,Q40_1,Q1_1,Q2_1,Q75,Q101
2025-11-20 15:46:51,2025-11-20 15:57:52,IP Address,23.28.253.199,100,661,True,2025-11-20 15:57:52,R_6bW6ybypNdvWw7J,,,,,42.6628,-84.0726,anonymous,EN,I accept,English,56fb454534a0d300061a5070,Continue,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,"I think Austin explained himself because he thought that Brady might not understand why he was leaving.  Brady's text makes it seem like it was out of the blue, and he didn't expect it.",Somewhat favorable,Favorable,Favorable,Favorable,I think Adriana explained herself because she was excited about her trip and wanted to talk about it.,Very favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Unfavorable,"I think Alex explained himself because a rat isn't the most common pet choice, and without logic it might have seemed like a strange decision.  ",Somewhat favorable,Somewhat favorable,Somewhat favorable,Favorable,"I think Ari explained himself because he had a lot of job offers, and explaining how he was able to narrow it down would be important.",Very favorable,Very favorable,Very favorable,Somewhat unfavorable,"I think Alan explained himself because he was worried that Blake might invite him to do something, and he didn't want to say no.",Somewhat favorable,Neither unfavorable nor favorable,Somewhat favorable,Somewhat unfavorable,"I think Allison explained herself because she thinks going to visit Aunt Beth might be seen as a lesser plan.  The plan looks less focused on fun, and more so on family maybe.",Favorable,Favorable,Very favorable,Unfavorable,I think Anthony explained himself because he was worried that it would appear that he was doing Luke's work for him and covering for him.,Somewhat unfavorable,Very favorable,Very favorable,Somewhat favorable,"I think Andrew explained himself because he has a hard time containing himself when he's stressed.  It sounds like he has a lot on his place, and maybe he just needed to vent in this moment.",Favorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I honestly have no idea, gaining context from texts?    I understood the task, I hope.",Done
2025-11-20 15:37:10,2025-11-20 15:58:07,IP Address,86.178.30.186,100,1256,True,2025-11-20 15:58:07,R_8A0ZObpmhZXojRD,,,,,52.3499,-2.2698,anonymous,EN,I accept,English,56bbad070b36c4000b4d4ef9,Continue,Favorable,Favorable,Somewhat unfavorable,I think maybe hew was expecting Brady to be a bit upset that he was moving to Minneapolis and thats why he spent a long time justifying his decision,Neither unfavorable nor favorable,Somewhat favorable,Somewhat favorable,Favorable,She was explaining about the fact that she was going to University and wanted to justify her decision,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Somewhat unfavorable,He wanted to justify the decision of buying a rat as quite a lot of people do like rats,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Favorable,She was overjoyed with her offer and could not contain her excitement,Very favorable,Neither unfavorable nor favorable,Favorable,Somewhat unfavorable,Alan might think that Blake finds his decision boring and justifies it with lots of reasons,Neither unfavorable nor favorable,Somewhat favorable,Favorable,Neither unfavorable nor favorable,She might have thought that Bailey would think it was an odd decision for her to visit her aunt,Somewhat favorable,Favorable,Favorable,Neither unfavorable nor favorable,Wanted to explain to Ben why he likes a tidy kitchen,Somewhat favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,He wanted to Tell Bill how busy he had been,Somewhat favorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Was it about understanding the meaning and reasoning of why people write what they do?,
2025-11-20 15:42:56,2025-11-20 15:58:14,IP Address,172.56.222.41,100,918,True,2025-11-20 15:58:15,R_61plZ7Vj3R4k5ex,,,,,39.9233,-75.2313,anonymous,EN,I accept,English,588e02b13326830001bc29cd,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very favorable,Because she was excited to share all of her thoughts about her new laptop.,Very favorable,Very favorable,Very favorable,Very favorable,Because she's excited and Brittany wanted to know more.,Very favorable,Very favorable,Very favorable,Very favorable,Because Bonnies asked her about it and she wanted to share more.,Very favorable,Very favorable,Very favorable,Very favorable,Because Bill asked him to tell him about it.,Very favorable,Very favorable,Very favorable,Very favorable,Because that's just the type of person he is.,Favorable,Very favorable,Very favorable,Very favorable,Because she was really excited about her new dress.,Very favorable,Very favorable,Very favorable,Very favorable,Because she had a lot to share and Beatrice wanted to know the info.,Very favorable,Very favorable,Very favorable,Very favorable,Because she wanted to virtue signal about how good of a person she is.,Very favorable,Very favorable,Very favorable,All went well. I understood the task easily enough. I figure it's about seeing how we think about multiple messages and if they change the tone of a conversation. Thank you and have a great day.,Done
2025-11-20 15:40:17,2025-11-20 15:58:55,IP Address,90.197.158.121,100,1118,True,2025-11-20 15:58:55,R_8OITFvu2P7n8UjK,,,,,50.368,-4.1329,anonymous,EN,I accept,English,66e4e41d14e1d19d88229740,Continue,Somewhat favorable,Neither unfavorable nor favorable,Favorable,He just wanted to give details to his friend,Neither unfavorable nor favorable,Somewhat favorable,Neither unfavorable nor favorable,Favorable,Brooke asked him to tell her about it so she was just following her lead,Favorable,Neither unfavorable nor favorable,Somewhat favorable,Somewhat unfavorable,"Because he thought his friend will not accept that he adopted a rat
",Neither unfavorable nor favorable,Somewhat favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,His friend asked him details about it.,Somewhat favorable,Somewhat favorable,Favorable,Somewhat favorable,He wanted to give him a break down of everything.,Neither unfavorable nor favorable,Favorable,Somewhat favorable,Unfavorable,Because she did not want he friend to feel like she does not want to see her .,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Because he has not done the right thing,Neither unfavorable nor favorable,Very favorable,Somewhat favorable,Unfavorable,He explained because he thought that Bill will think he is not welcomed to his apartment.,Somewhat favorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This survey was about viewing conversations,Done
2025-11-20 15:46:37,2025-11-20 15:59:33,IP Address,99.7.166.131,100,775,True,2025-11-20 15:59:33,R_6xIVbCIpU0GPtmt,,,,,32.8558,-97.0844,anonymous,EN,I accept,English,67197894611a27c0434adff7,Continue,Favorable,Favorable,Favorable,a move is a big decision,Favorable,Favorable,Favorable,Favorable,Adriana seemed genuinely interested in Brooke's trip,Very favorable,Favorable,Favorable,Neither unfavorable nor favorable,because a rat is a strange pet and have a bad reputation,Somewhat unfavorable,Neither unfavorable nor favorable,Somewhat favorable,Favorable,it sounded like Bruce had a genuine interest in her job hunt,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,seemed a bit of overexplaining that Blake didn't ask for,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Favorable,so that Baily would understand she had many reasons to visit her aunt,Favorable,Favorable,Favorable,Somewhat favorable,to help justify why he didn't wait for Luke to clean the kitchen,Somewhat favorable,Favorable,Favorable,Favorable,seemed like a lot of overexplaining that Bill did not ask for,Neither unfavorable nor favorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,understood the task. maybe the survey was about how tone comes across in text messages,Done
2025-11-20 15:40:43,2025-11-20 15:59:58,IP Address,82.30.43.178,100,1154,True,2025-11-20 15:59:59,R_878ycqkadVevRpg,,,,,50.7334,-1.9246,anonymous,EN,I accept,English,615beb6b1691b0117a109842,Continue,Somewhat unfavorable,Neither unfavorable nor favorable,Somewhat unfavorable,I think Austin felt the need to justify moving out to Brady. Not clear if Brady is the landlord but it feels as though Austin is trying to explain his actions.,Neither unfavorable nor favorable,Favorable,Somewhat favorable,Neither unfavorable nor favorable,I think because Brooke asked her to tell her about the holiday.,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Somewhat unfavorable,"I think most people don't like rats very much so Alex felt the need to explain why a pet rat is a good choice. I'm not sure it will work though, I like rats but still feel Brian won't be impressed.",Somewhat unfavorable,Favorable,Favorable,Somewhat favorable,I think she wanted to ensure that Bruce knew her reasoning and that it was a good choice.,Very favorable,Very favorable,Very favorable,Unfavorable,I think Alan thought Blake would thing he was being boring or uninteresting for having no plans so felt the need to explain why,Favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,I think Allison explained herself because Bailey sounded as though he would like details on what she was doing.,Very favorable,Favorable,Favorable,Somewhat unfavorable,It sounds like the mess was mainly Lukes and Luke should have taken responsibility so Anthony felt the need to explain why he cleaned up instead,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Unfavorable,I think Andrew must have felt he needed to explain himself as Bill would view the decision unfavourably,Somewhat favorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I think it was about the meaning behind messages, the implicit rather than explicit meaning.",Done
2025-11-20 15:37:54,2025-11-20 16:00:31,IP Address,205.178.46.99,100,1357,True,2025-11-20 16:00:32,R_7PnthZJZ73UpO90,,,,,41.921,-87.6454,anonymous,EN,I accept,English,5c309bb410677f0001dda0ed,Continue,Somewhat favorable,Somewhat favorable,Neither unfavorable nor favorable,I think he was just excited about his decision to move and wanted to tell his friend about it in full. ,Favorable,Favorable,Favorable,Somewhat unfavorable,"To get ahead of Brooke's likely criticism of her decision, which  Adriana knew would likely come next. ",Unfavorable,Neither unfavorable nor favorable,Somewhat favorable,Unfavorable,Alex likely figured Brian would not approve of his decision to get a rat as a pet. ,Somewhat unfavorable,Neither unfavorable nor favorable,Favorable,Somewhat favorable,Ari was simply excited that someone asked her about her job status so she let Bruce know all the details. ,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Somewhat unfavorable,Alan preempted Blake's likely question of whether Alan could hang out. Alan just got ahead of it before Blake could ask. ,Somewhat unfavorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Unfavorable,Allison needed to explain to Bailey what her plan was in detail because she likely knew that Bailey was going to try to make plans with her and she needed to give the excuse as to why she wouldn't be able to. ,Somewhat unfavorable,Neither unfavorable nor favorable,Somewhat favorable,Neither unfavorable nor favorable,I think Anthony explained himself because he probably does a lot of the chores and Ben likely would have told him to not do so many and let someone else do them for once. ,Neither unfavorable nor favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,"For some reason, Andrew felt  that Bill probably needed him in the apartment later and Andrew decided to explain why he wouldn't be before Bill could question him about it. ",Somewhat unfavorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Understood the task yes. Probably to see how people view conversations differently. ,Done
2025-11-20 15:39:42,2025-11-20 16:01:26,IP Address,77.98.42.227,100,1304,True,2025-11-20 16:01:26,R_8kCjRVRWcMenPdW,,,,,53.4146,-2.2274,anonymous,EN,I accept,English,5f8d62a678e62303a62ed8bd,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat favorable,To justify her purchase and show that she had carefully considered the benefits and drawbacks before going ahead with it,Favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,"To justify her decision to get together with her new boyfriend, and to proactively address any concerns Brittany may have",Favorable,Somewhat favorable,Favorable,Neither unfavorable nor favorable,"To validate her hiring decision, in case Bonnie didn't agree with it",Favorable,Somewhat unfavorable,Neither unfavorable nor favorable,Very favorable,"To communicate how proud he is of his new place, and to explain about all of the thought-process that went into making the decision regarding the property, location, etc",Favorable,Favorable,Favorable,Unfavorable,To justify her actions and explain the reasoning behind what could be perceived as a lazy action,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Somewhat unfavorable,"To explain the amount of thought that had gone into the decision to make the purchase, and show that she wasn't being frivolous",Favorable,Somewhat favorable,Somewhat favorable,Favorable,To communicate to Beatrice how much Anna cares about Emily and her future,Very favorable,Somewhat unfavorable,Very favorable,Very favorable,"To show that she wouldn't be frivolous with her bonus and would instead use it to help the environment, showing Beth how important Alice feels about the topic",Very favorable,Very favorable,Very favorable,It seemed to be about how longer messages may be used more often when the maker of a decision feels that they need to justify and validate their choice,Done
2025-11-20 15:38:43,2025-11-20 16:02:38,IP Address,63.78.88.34,100,1434,True,2025-11-20 16:02:39,R_7fCA7j5KyMwLKfL,,,,,38.1428,-94.8136,anonymous,EN,I accept,English,606f9bca353fc36aba9ccb8b,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorable,SHE WAS PROUD OF HER PURCHASE,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Very favorable,To show how much she liked her new  boyfriend ,Favorable,Favorable,Favorable,Favorable,BECAUSE BONNIE ASKED A QUESTION,Neither unfavorable nor favorable,Favorable,Neither unfavorable nor favorable,Favorable,Because Bill asked him if hee'd moved yet ,Favorable,Favorable,Favorable,Favorable,So Bianca can go ahead and use it ,Favorable,Favorable,Favorable,Favorable,SHE WANTED TO EXPLAIN HER WEEKEND ,Favorable,Favorable,Favorable,Favorable,anna asked how emily was doing ,Favorable,Favorable,Favorable,Favorable,she wanted to explain she did a good job,Very favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,If people explaining things was awkward. ,Done
2025-11-20 15:37:04,2025-11-20 16:04:38,IP Address,131.95.220.61,100,1653,True,2025-11-20 16:04:38,R_1qrdFSRr0KAVLVe,,,,,31.3145,-89.3788,anonymous,EN,I accept,English,5e29c3e725dcfd01cef9f474,Continue,Neither favorable nor unfavorable,Somewhat favorable,Favorable,to verify their choice,Favorable,Favorable,Favorable,Neither unfavorable nor favorable,Brooke asked for details,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Somewhat favorable,Neither unfavorable nor favorable,maybe he thought his choice was controversial ,Somewhat favorable,Somewhat favorable,Somewhat favorable,Favorable,he wanted to share his reason for choosing the way he did,Favorable,Favorable,Favorable,Neither unfavorable nor favorable,maybe he felt there were expectations of him to do something on the weekend,Somewhat favorable,Neither unfavorable nor favorable,Somewhat favorable,Neither unfavorable nor favorable,because she loves her aunt so much,Favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,because he wasn't trying to defend luke,Neither unfavorable nor favorable,Somewhat favorable,Somewhat favorable,Favorable,maybe he is a bit stressed out,Favorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i think it was about deciding how someone respond to a person's decisions,Done
2025-11-20 15:45:39,2025-11-20 16:04:56,IP Address,149.71.158.236,100,1156,True,2025-11-20 16:04:56,R_8qHlFeT88QU4m9H,,,,,52.7004,-2.0269,anonymous,EN,I accept,English,5cdd4befd3651c001950e539,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat unfavorable,Maybe because it was an expensive purchase and she felt the need to justify the cost,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Favorable,She wanted to give her friend all the details,Favorable,Somewhat favorable,Somewhat favorable,Favorable,To give all the details as to why it was a good hire,Very favorable,Somewhat favorable,Neither unfavorable nor favorable,Favorable,"It was a really good property, he was excited",Very favorable,Favorable,Favorable,Very favorable,To show he wasn't just being lazy,Very favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Favorable,"She was happy with the new dress, she wanted to share it with a friend",Very favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,to show she is helping Emily,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Favorable,She wanted to show her generous side,Favorable,Somewhat unfavorable,Somewhat unfavorable,"I wasn't sure, but I assumed it was relating to people misunderstanding the intent in messages, it is easier to make yourself clear in person and to judge the other persons oppinion.",Done
2025-11-20 15:47:27,2025-11-20 16:06:49,IP Address,145.224.90.71,100,1162,True,2025-11-20 16:06:49,R_8HkGaBjVXEqaF2F,,,,,51.5081,-0.1278,anonymous,EN,I accept,English,60f154e3b41e8202276ccc73,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat unfavorable,because its one of the most expensive ones you can get and she might have thought that Blair would judge her for that,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Somewhat unfavorable,Maybe because Ben is quite quirky and a little bit different so she was worried what Brittany might think of her,Somewhat favorable,Somewhat unfavorable,Favorable,Somewhat unfavorable,Bonnie is her boss maybe so she wants to explain fully her reasoning on why she chose Sarah for the role. She wanted to let her know that she took all appropriate things into account when making the decision and being professional,Favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Adam explained himself because its probably a cheaper area and quite run down so not really an area that many people would be keen on,Somewhat favorable,Somewhat unfavorable,Very favorable,Somewhat unfavorable,he was embarassed to say he got takeout as maybe he gets it a lot and he feels it isnt a good look and his housemates are judging him,Somewhat favorable,Somewhat unfavorable,Unfavorable,Somewhat unfavorable,Maybe because she said she was busy the weekend so couldnt meet bridget so had to make up an elaborate story of why she was so busy,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Unfavorable,Because she thought beatrice would think she shouldnt be helping Emily with her homework as it wouldnt do her any favours in the long run,Somewhat favorable,Unfavorable,Unfavorable,Somewhat unfavorable,because most people wouldnt donate their bonus to charity - especially greenpeace,Somewhat unfavorable,Somewhat favorable,Favorable,understanding explanations and front loading assumptions,Done
2025-11-20 15:49:11,2025-11-20 16:08:11,IP Address,104.9.9.91,100,1139,True,2025-11-20 16:08:12,R_1oEDnVzTat4gh4O,,,,,32.9074,-97.4257,anonymous,EN,I accept,English,6529bcd74ee9e1df2c5061e4,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very favorable,She really likes her new laptop and keeps coming up with the ways in which it is so great to have.,Favorable,Somewhat favorable,Somewhat favorable,Very favorable,She is very happy to be in a new relationship and wants to share everything she likes about him with her friend.,Very favorable,Somewhat unfavorable,Favorable,Very favorable,She was slightly concerned that Bonnie had someone else in mind for the position and she wants to justify herself.,Very favorable,Unfavorable,Somewhat unfavorable,Favorable,He is proud of himself and excited about the new apartment and wants to share all the great information.,Favorable,Very favorable,Favorable,Somewhat favorable,He is the type of person who shares a lot.  He probably gets a lot of TMI responses.,Favorable,Neither unfavorable nor favorable,Somewhat unfavorable,Favorable,She is happy and excited about her purchase and wants to share all the details with her friend.,Very favorable,Somewhat favorable,Favorable,Very favorable,There are many reasons why she helped Emily with her homework and wants to explain them all.,Very favorable,Very unfavorable,Very unfavorable,Favorable,Because it is unusual for people to give up part of their bonus to charity.  She is proud of doing it and maybe even can convince Beth to donate in the future.,Favorable,Neither unfavorable nor favorable,Favorable,I can't think of what this survey was about.  I understood the task and have no other questions.,Done
2025-11-20 15:53:19,2025-11-20 16:09:44,IP Address,86.144.147.68,100,984,True,2025-11-20 16:09:45,R_8eOyQPWf9YXyTlf,,,,,52.482,-1.9788,anonymous,EN,I accept,English,5c39f0c686c1450001a983c4,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very favorable,To inform her friend and to explain what the benefits of the purchase were.,Favorable,Favorable,Favorable,Favorable,To justify her decision and to explain that it was a well-reasoned development.,Favorable,Favorable,Favorable,Very favorable,Audrey was pleased with her choice and wanted to share the reasons for that.,Favorable,Very favorable,Very favorable,Very favorable,Adam is pleased with the situation and wants to share the reasons why.,Very favorable,Favorable,Favorable,Somewhat favorable,"He feels defensive but wants to let Bianca know that the kitchen is free, and why that is.",Somewhat favorable,Unfavorable,Neither unfavorable nor favorable,Very favorable,To pass on information and to express her pleasure with circumstances.,Favorable,Favorable,Favorable,Favorable,Because it informs of Emily's situation and expresses tenderness and care for Emily.,Favorable,Somewhat unfavorable,Unfavorable,Somewhat favorable,Alice wants to justify herself and give information regarding her values.,Favorable,Favorable,Favorable,I think whether the texts looked to influence a potentially unfavourable reaction.,Done
2025-11-20 15:46:51,2025-11-20 16:10:13,IP Address,74.215.142.194,100,1402,True,2025-11-20 16:10:14,R_6NJTqHQ2WqLxJ7O,,,,,39.2413,-84.5455,anonymous,EN,I accept,English,5c65b61fad596e000179ece5,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither unfavorable nor favorable,To get Blair's approval of her laptop she purchased,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Very favorable,She wanted approval from Brittany ,Favorable,Neither unfavorable nor favorable,Favorable,Neither unfavorable nor favorable,To get Bonnie's approval of the new hire,Very favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,To give Bill.s approval of his new apartment,Very favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Favorable,They wanted to justify why they got takeout.,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,She wanted Bridget to approve of her new dress,Favorable,Neither unfavorable nor favorable,Somewhat favorable,Favorable,She wanted to reinforce what she was doing to help Emily,Favorable,Neither unfavorable nor favorable,Somewhat favorable,Favorable,Shw wanted Beth approval of the good deed that she did.,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,How persuasive  or favorable a text message is by reading the question  asked and/r how the person responds to it,Done
2025-11-20 15:53:42,2025-11-20 16:10:53,IP Address,45.153.135.243,100,1031,True,2025-11-20 16:10:54,R_8kAqAeLgp0HrYWf,,,,,53.6794,-0.4399,anonymous,EN,I accept,English,6413591cc45fb6378c93d0dc,Continue,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,So that Brady understood the whole reason to why Austin is moving away ,Somewhat favorable,Favorable,Favorable,Favorable,It may have seemed like a random decision to spend 3 weeks in one city so added the extra information,Favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,So that Brian doesn't judge him for making a bad decision ,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,So that the reasons for the decision were clear,Favorable,Favorable,Favorable,Unfavorable,In case Blake judged him as being boring for not having any weekend plans ,Somewhat favorable,Somewhat favorable,Favorable,Somewhat unfavorable,She might have felt judged for choosing to spend the weekend with an elderly relative,Somewhat favorable,Somewhat favorable,Favorable,Somewhat unfavorable,So that Ben doesn't think badly of Luke,Unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,So that Bill doesn't try and talk him out of studying,Neither unfavorable nor favorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I think it was to understand the nuance and tone in text conversations. I understood the task. ,Done
2025-11-20 15:42:31,2025-11-20 16:11:14,IP Address,77.98.130.78,100,1722,True,2025-11-20 16:11:14,R_8NTxItwY1pnv2ox,,,,,52.4259,-1.4628,anonymous,EN,I accept,English,67665f7b0329bd3e30515ad2,Continue,Somewhat favorable,Very favorable,Somewhat favorable,Austin just wanted Brady to reasons why they chose Minneapolis,Somewhat favorable,Neither unfavorable nor favorable,Favorable,Somewhat unfavorable,She probably Brooke would frown at her choosing Edinburgh as a vacation destination. She just want to make Brooke see reason why it would be a great choice,Somewhat favorable,Somewhat favorable,Very favorable,Very unfavorable,Alex obviously knows that Brian would not like the idea of getting a rat as a pet. He was just trying to convince Brian,Unfavorable,Neither unfavorable nor favorable,Very favorable,Somewhat favorable,"There was no need, Ari just wanted to give Bruce more information as a friend",Very favorable,Very favorable,Very favorable,Unfavorable,Alan explained himself as a form of excuses. maybe so that Blake would not persist,Somewhat unfavorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Somewhat unfavorable,Allison just wanted to make bailey understand her preference of family time over fun,Favorable,Very favorable,Very favorable,Very unfavorable,I think Anthony explained himself to exonerate Luke,Somewhat unfavorable,Somewhat favorable,Very favorable,Somewhat unfavorable,Andrew explained himself to give valid reasons why he would not be available at the apartment,Somewhat favorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Observing and predicting people's reaction to a message,Done
2025-11-20 15:44:27,2025-11-20 16:11:35,IP Address,68.59.207.38,100,1628,True,2025-11-20 16:11:36,R_16s7c1dSLLui85b,,,,,34.692,-85.2602,anonymous,EN,I accept,English,615914a33224dc31f1045612,Continue,Strongly favorable,Very favorable,Somewhat favorable,Because he wanted to let Brady know exctly why he was moving.,Favorable,Very favorable,Very favorable,Very favorable,Because she was very excited about the trip and wanted her friend to know.,Very favorable,Neither unfavorable nor favorable,Favorable,Favorable,He wanted to let Brian know the kind of pet he chose and why he chose it.,Neither unfavorable nor favorable,Very favorable,Very favorable,Very favorable,Bruce already knew ARI was job seeking and Ari knew Bruce would be very happy for him.,Very favorable,Neither unfavorable nor favorable,Somewhat favorable,Neither unfavorable nor favorable,Because he wanted to let Blake know exactly why he decided to stay home. He did this so Blake would not have any false hopes of him going out this weekend.,Neither unfavorable nor favorable,Very favorable,Very favorable,Favorable,She wanted to let her fried know her plans for the weekend and why she was going to her aunts house.,Very favorable,Very favorable,Very favorable,Neither unfavorable nor favorable,Because Luke didn't clean the kitchen and he wanted to let Ben know why.,Somewhat unfavorable,Favorable,Favorable,Very favorable,So his friend understood why he wouldn't be at the apartment.,Favorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I believe it was about seeing how one interprets texts being sent from one friend to another.,Done
2025-11-20 15:59:35,2025-11-20 16:13:50,IP Address,86.183.16.66,100,854,True,2025-11-20 16:13:51,R_8FKwXPAuN5jOjoG,,,,,51.731,0.6886,anonymous,EN,I accept,English,6329c13285c93cafdf51ed77,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorable,As to why she brought a mac over other models,Favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Because her friend asked for additional information,Favorable,Somewhat favorable,Somewhat favorable,Favorable,As Bonnie asked for more information,Favorable,Somewhat favorable,Somewhat favorable,Favorable,Because there were several other options.,Favorable,Somewhat favorable,Favorable,Favorable,As they should have cooked,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Because she maybe spends too much on clothes.,Somewhat unfavorable,Favorable,Somewhat favorable,Somewhat unfavorable,Because she was helping with a child's homework,Somewhat unfavorable,Unfavorable,Unfavorable,Somewhat unfavorable,To justify the donation,Somewhat favorable,Very favorable,Very favorable,Perceptions and tone in messages,Done
